"Channel 1_x","Channel 1_y"
3.323756933,29,
3.335087776,29,
3.344271183,29,
3.353129864,29,
3.364741802,29,
3.372943163,29,
3.38519907,29,
3.393594742,29,
3.405690193,29,
3.417932034,29,
3.431173801,29,
3.438467979,29,
3.449640989,29,
3.459043026,29,
3.4675529,29,
3.479449987,29,
3.487641096,29,
3.499850988,29,
3.51213789,29,
3.520378113,28,
3.532629013,29,
3.541010857,29,
3.553100109,29,
3.565047026,29,
3.573774099,29,
3.583310127,28,
3.594246864,29,
3.606525898,29,
3.615936995,28,
3.626949072,29,
3.635025978,29,
3.647650957,29,
3.655745029,28,
3.667848825,28,
3.6805439,28,
3.688313961,28,
3.700529814,29,
3.709378958,29,
3.721039772,29,
3.732210875,29,
3.741648912,28,
3.750452042,29,
3.762120008,29,
3.770197868,29,
3.782475948,29,
3.794889927,28,
3.802964926,29,
3.815248966,28,
3.823537827,28,
3.835719824,29,
3.848027945,29,
3.856256008,29,
3.86669898,29,
3.876890898,29,
3.889001846,29,
3.899977922,29,
3.909597874,29,
3.917637825,29,
3.929930925,28,
3.938182831,28,
3.950472832,29,
3.958806992,29,
3.970929861,29,
3.983152866,29,
3.991513014,29,
4.003670931,29,
4.014959812,29,
4.032164097,28,
4.043493748,28,
4.054975033,29,
4.066292048,29,
4.08582592,29,
4.098184824,29,
4.115270853,29,
4.13451004,29,
4.145764828,29,
4.165036917,28,
4.183084965,29,
4.195374966,29,
4.208788872,29,
4.217175007,29,
4.222569942,28,
4.233962059,29,
4.247298956,29,
4.253653049,29,
4.265225887,29,
4.271518946,29,
4.283119917,29,
4.291085005,29,
4.299832106,29,
4.317420959,29,
4.3286798,29,
4.346191883,29,
4.366725922,29,
4.378010035,29,
4.389506102,29,
4.400381804,29,
4.40813899,29,
4.417050123,28,
4.424029827,29,
4.434314966,29,
4.452655077,29,
4.46383214,29,
4.481110096,29,
4.498993874,28,
4.510545969,29,
4.52342701,29,
4.535413027,29,
4.550555944,29,
4.558263063,29,
4.56505084,29,
4.577780962,29,
4.591979027,29,
4.605189085,29,
4.61295104,28,
4.626277924,29,
4.641870022,28,
4.666475058,29,
4.693171978,29,
4.712678909,28,
4.73392415,29,
4.74653101,28,
4.773244858,29,
4.796823025,29,
4.818927765,28,
4.825712919,29,
4.836954832,29,
4.843268156,29,
4.860435009,29,
4.86864686,29,
4.883018017,29,
4.892335892,29,
4.900113821,29,
4.905508757,29,
4.916498899,29,
4.923708916,29,
4.933006048,29,
4.950769901,29,
4.961611986,28,
4.978487015,28,
